Name	Price	Cheapest - Option	Cheapest - Shipping Cost	Cheapest - Taxes & Fees	Cheapest ETA - Days	Fastest Option - Days	Fastest - Shipping Cost	Fastest - Taxes & Fees	Group	Category	Vendor	URL
Intellectuals Watch	16	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/Watches-stainless-Luxury-Fashion-Waterproof/dp/B06ZZ58MG7/ref=sr_1_1_sspa?s=apparel&ie=UTF8&qid=1544317013&sr=1-1-spons&nodeID=7141123011&psd=1&keywords=watches&refinements=p_36%3A1000-2000&psc=1
Artist watch	17	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/AZLAND-Flashing-Multiple-Wristwatch-Waterproof/dp/B074Z87NYF/ref=sr_1_31_sspa?s=apparel&ie=UTF8&qid=1544317013&sr=1-31-spons&nodeID=7141123011&psd=1&keywords=watches&refinements=p_36%3A1000-2000&psc=1
Outdoors Watch	18	Prime Shipping	0		2		0		Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/MEGIR-Leather-Waterproof-Calendar-Business/dp/B076CJFYGC/ref=sr_1_17?s=apparel&ie=UTF8&qid=1543359011&sr=1-17&nodeID=7141123011&psd=1&keywords=outdoor+watch
Super Meat Boy - Steam Game	14.99	Prime Shipping	0						Rhod+/Diamond	Digital	Amazon	https://store.steampowered.com/app/40800/Super_Meat_Boy/
Klutz Nail Art Craft Kit	14.54	Prime Shipping	0	1.13	2		0	1.13	Rhod+/Diamond	Jewlery	Amazon	https://www.amazon.com/Klutz-Nail-Art-Craft-Kit/dp/0545802644/ref=sr_1_35?ie=UTF8&qid=1544315391&sr=8-35&keywords=girls+toys
LED Gloves	15.95	Prime Shipping	0	1.24	2	1	5.99	1.7	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/Noodley-Flashing-LED-Light-Gloves/dp/B01MTIX0S0/ref=sr_1_46?ie=UTF8&qid=1544315556&sr=8-46&keywords=girls+toys
Anker Dual USB Wall Charger	16.99	Prime Shipping	0	1.32	2	1	5.99	1.32	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/dp/B071GJ6X7B/ref=gbph_tit_m12_f46b_381d32cd?pf_rd_p=08ff2e7b-d987-49cf-8639-7babf9f3f46b&pf_rd_s=merchandised-search-12&pf_rd_t=101&pf_rd_i=5550343011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=BYTWSXXS6D19TD0AZT78&th=1
Memory Foam Lumbar Cushion	15.95	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/gp/product/B01HXSYG6A?imprToken=SdA1sZ-EVqAJ5UkZzMfpXA&slotNum=1&ie=UTF8&tag=bustle7440-20&camp=1789&linkCode=xm2&creativeASIN=B01HXSYG6A
Remington Hair Dryer	19.96	Prime Shipping	0	1.55	2	1	5.99	2.01	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/gp/product/B00MMRFUG8?imprToken=NVPHBg4ImTL8jkkJu1NPGQ&slotNum=1&ie=UTF8&tag=bustle6987-20&camp=1789&linkCode=xm2&creativeASIN=B00MMRFUG8
LifeStraw Personal Water Filter	14.96	Prime Shipping	0	1.16	2	1	5.99	1.62	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/LifeStraw-Personal-Camping-Emergency-Preparedness/dp/B006QF3TW4?ref_=s9_acss_bw_cg_ORHarOut_1a1_w
League of Legends Collectable Plush	20	Riot Games Shipping	7.64	1.45	7	1	46.64	1.45	Rhod+/Diamond	Toys	Amazon	https://na.merch.riotgames.com/en/collectibles/plush/alistar-collectible-plush.html
Wine Bottle Opener	16.19	Prime Shipping	0	1.25	2	1	6.99	1.79	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/dp/B003YFI0O6?tag=bbl19-20
Tactical Flash Light	14.95	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Electronic	Amazon	https://www.amazon.com/gp/product/B00V7T1YRQ?imprToken=KK5oMX0zSnEqm6M9765BHw&slotNum=1&ie=UTF8&tag=bustle10667-20&camp=1789&linkCode=xm2&creativeASIN=B00V7T1YRQ
Mattel Lil' Gleemerz Figure	19.99	Prime Shipping	0	1.55	2	1	6	2.01	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/dp/B079Z8V2S4/?tag=bp_links-20&ascsubtag=[artid|2089.g.3486[src|[ch|
Friendship Bracelet Kit	15.47	Prime Shipping	0	1.2	2	1	5.99	1.66	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/dp/B002Y66FAW/ref=cm_gf_aTNN_i4_d_p0_qd1______________________3i4EPXFVIp71o2X0KKwF
Stealing Cat/Panda Piggy Bank	17.99	Prime Shipping	0	1.39	2	1	5.99	1.85	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/dp/B01184U1EQ/ref=cm_gf_aTNN_i0_i1_d_p0_qd5___________________4b2chzwBIKv8gOKY2GLh
Guitar Pick 12 Pack	13.99	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/dp/B01ESDV8M8/ref=cm_gf_aTNN_d_p0_qd7_________________________A8bmNBGR4oYzQcK7wiy1
Rubiks Cube	12.9	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/dp/B00OKIFV3Y/ref=cm_gf_aTNN_i0_d_p0_qd113____________________DTuNXZnX6tlUaKDJlTkL
Slippers	11.8	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/DESNC02-Indoor-Slippers-Washable-Unisex/dp/B07GZ5GBD3/ref=sr_1_1_sspa?s=apparel&ie=UTF8&qid=1544491058&sr=1-1-spons&nodeID=7141123011&psd=1&keywords=men+indoor+slippers&psc=1
Female Indoor Slippers	13.99	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/dp/B076VC7CZ1/ref=cm_gf_aTNN_i0_d_p0_qd116____________________gpzmx1Qbjz6Htc8YcEXn?th=1&psc=1
Indoor Slippers	15.99	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/DESNC02-Indoor-Slippers-Washable-Unisex/dp/B07GZ1KN2P/ref=sr_1_1_sspa?s=apparel&ie=UTF8&qid=1544491058&sr=1-1-spons&nodeID=7141123011&psd=1&keywords=men%2Bindoor%2Bslippers&th=1&psc=1
Nerf N-Strike Elite Strongarm Blaster	12.99	Prime Shipping	0	1.01	2	1	5.99	1.47	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/Nerf-N-Strike-Elite-Strongarm-Blaster/dp/B00DW1JT5G/ref=zg_mg_toys-and-games_3?_encoding=UTF8&refRID=W76NQT65CSG3MXWFXD4M&th=1
Hot Wheels 20 Car Gift Pack	18.9	Prime Shipping	0	1.46	2	1	6.99	2	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/Hot-Wheels-Cars-Gift-Styles/dp/B01BMW645O/ref=zg_mg_toys-and-games_29?_encoding=UTF8&psc=1&refRID=W76NQT65CSG3MXWFXD4M
Carhartt Insulated Lunch Cooler	24.99	Prime Shipping	0	1.94	2	1	5.99	2.4	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/Carhartt-Deluxe-Compartment-Insulated-Cooler/dp/B06XFY5NZW/ref=sr_1_7?s=home-garden&ie=UTF8&qid=1544545682&sr=1-7&keywords=lunch+box
Mier Lunch Box	17.55	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/MIER-Adult-Insulated-Cooler-Double/dp/B01FQA0YDQ/ref=sr_1_3?ie=UTF8&qid=1544512725&sr=8-3&keywords=lunchbox
Female Lunch Box	19	Prime Shipping	0	1.47	2	1	3.99	1.78	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/Bixbee-Sparkalicious-Glitter-Insulated-Lunchbox/dp/B00DOSUE7E/ref=sr_1_3_sspa?s=home-garden&ie=UTF8&qid=1544545757&sr=1-3-spons&keywords=girls+lunch+box&psc=1
Lunch Box	18	Prime Shipping	0	1.39	2	1	5.99	1.85	Rhod+/Diamond	Other	Amazon	https://www.amazon.com/Wildkin-Insulated-Moisture-Resistant-Organization/dp/B0067QYHZU/ref=sr_1_20?s=home-garden&ie=UTF8&qid=1544545682&sr=1-20&keywords=lunch+box
VIVO Dual Monitor Mount	30	Prime Shipping	0	3.1	2	1	11.99	4.03	Diamond+	Accessories	Amazon	https://www.amazon.com/VIVO-Monitor-Adjustable-Screens-STAND-V002/dp/B074GBSXTM/ref=pd_bxgy_147_img_3?_encoding=UTF8&pd_rd_i=B009S750LA&pd_rd_r=21266a35-efa8-11e8-bed5-7dcfcd74da26&pd_rd_w=pFBHP&pd_rd_wg=5RZuH&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER
Monopoly Rick & Morty Board Game	24.05	Prime Shipping	0	1.86	2	1	5.99	2.32	Diamond+	Board Games	Amazon	https://www.amazon.com/Monopoly-Offically-Licensed-Merchandise-Classic/dp/B01JCKGCWS
Hasbro Monopoly Classic Game	16.99	Prime Shipping	0	1.32	2	1	5.99	1.78	Diamond+	Board Games	Amazon	https://www.amazon.com/Hasbro-C1009-Monopoly-Classic-Game/dp/B01MU9K3XU
Hasbro Monopoly: Cheaters Edition	15.88	Prime Shipping	0	1.23	2	1	5.99	1.69	Diamond+	Board Games	Amazon	https://www.amazon.com/dp/B0771YL7DZ
Monopoly Stranger Things Edition	22.13	Prime Shipping	0		2		0		Diamond+	Board Games	Amazon	https://www.amazon.com/dp/B076LZZBSR
University of Alabama Bamaopoly	24.99	Prime Shipping	0	1.94	2	1	5.99	2.4	Diamond+	Board Games	Amazon	https://www.amazon.com/dp/B0006HCVQS
Monopoly: The Legend of Zelda Collector's Edition	30.37	Prime Shipping	0	2.35	2	1	5.99	2.81	Diamond+	Board Games	Amazon	https://www.amazon.com/dp/B00K3EYT50
Zingyou Microphone Bundle	34.98	Prime Shipping	0		2	1	7.99	0	Diamond+	Technology	Amazon	https://www.amazon.com/dp/B0756V2B6R/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B0756V2B6R&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=vqyP3&pf_rd_r=43K2FFFQGEWS26APY08Y&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&pd_rd_w=Vu63o&pf_rd_i=d
4M Crystal Growing Experiment	16.12	Prime Shipping	0	1.25	2	1	5.99	1.71	Diamond+	Toys	Amazon	https://www.amazon.com/4M-5557-Crystal-Growing-Experiment/dp/B00ITX1K4K/ref=sr_1_16?s=toys-and-games&ie=UTF8&qid=1544483540&sr=1-16&refinements=p_n_age_range%3A5442388011
36 x 24 inch Magnetic Dry Erase Board	32.9	Prime Shipping	0		2	1	11.99	0	Diamond+	Other	Amazon	https://www.amazon.com/Lockways-Magnetic-Dry-Erase-Board/dp/B06X6MJQMG
RGB Soft Gaming Mouse Pad	31.99	Prime Shipping	0		2	1	6.99	0	Diamond+	Accessories	Amazon	https://www.amazon.com/Oversized-Extended-Mousepad-%EF%BC%8CNon-Slip-Mat%EF%BC%8C31-5X/dp/B07GSXJZSV/ref=sr_1_14?s=office-products&ie=UTF8&qid=1543021259&sr=1-14&keywords=gaming+mouse+pad
New Era College Pom Beanie	22.95	Prime Shipping	0	1.78	2	1	3.99	2.09	Diamond+	Fashion	Amazon	https://www.amazon.com/dp/B076X5WYKF/ref=cm_gf_aTNN_i18_d_p0_qd31____________________7ZX8sZHlzRESrqqjCIlG
Stormtrooper Figure	34.9	Prime Shipping	0	2.7	2	1	5.99	3.16	Diamond+	Toys	Amazon	https://www.amazon.com/Star-Wars-Stormtrooper-Amazon-Exclusive/dp/B06XWFJQ24/ref=zg_bs_165994011_10?_encoding=UTF8&psc=1&refRID=34Q05JZHMP3HFCAW9BDD
Lightweight Gaming Glasses	39.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Fashion	Amazon	https://www.amazon.com/GAMEKING-8001-Blocking-Computer-Lightweight/dp/B0741D6XH1/ref=sr_1_8?s=electronics&ie=UTF8&qid=1543031370&sr=1-8&keywords=computer+gaming+glasses
Logitch Multimedia Speakers Z200	22.99	Prime Shipping	0	1.78	2	1	5.99	2.24	Diamond+	Speakers	Amazon	https://www.amazon.com/Logitech-Multimedia-Speakers-Multiple-Devices/dp/B00EZ9XKCM
Red/Black/White/Blue DOSS Wireless Bluetooth Portable Speaker	30.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Speakers	Amazon	https://www.amazon.com/DOSS-Wireless-Bluetooth-Portable-Speaker/dp/B01CQOV3YO/ref=sr_1_8?s=electronics&ie=UTF8&qid=1544317303&sr=1-8&keywords=bluetooth+speakers
Pink DOSS Wireless Bluetooth Portable Speaker	32.99	Prime Shipping	0		2	1	6.99	0	Diamond+	Speakers	Amazon	https://www.amazon.com/DOSS-Wireless-Bluetooth-Portable-Speaker/dp/B01CQOV3YO/ref=sr_1_8?s=electronics&ie=UTF8&qid=1544317303&sr=1-8&keywords=bluetooth+speakers
Bunny with Squishy Ears Bluetooth Speaker	24.99	Prime Shipping	0	1.94	2	1	3.99	2.25	Diamond+	Speakers	Amazon	https://www.amazon.com/Bluetooth-Speaker-Wireless-Portable-Squishy/dp/B077XXHTD7
Bluetooth Beanie Hat Headphones	29.99	Prime Shipping	0		2		0		Diamond+	Speakers	Amazon	https://www.amazon.com/dp/B07855GL8X
Anker Soundcore Bluetooth Speaker	22.94	Prime Shipping	0	1.78	2	1	5.99	1.78	Diamond+	Speakers	Amazon	https://www.amazon.com/Anker-SoundCore-Playtime-Bluetooth-Portable/dp/B016XTADG2
Divoom Aurabox Bluetooth LED Speaker	38.9	Prime Shipping	0		2		0		Diamond+	Speakers	Amazon	https://www.amazon.com/Divoom-Aurabox-Bluetooth-Speaker-Creation/dp/B011R7ALW6
COMISO Waterproof Bluetooth Speaker	29.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Speakers	Amazon	https://www.amazon.com/COMISO-Waterproof-Bluetooth-Speakers-Wireless/dp/B0744JGZ1T
LED Bluetooth Speaker	27.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Speakers	Amazon	https://www.amazon.com/dp/B079GR96PB/ref=sspa_dk_detail_9?psc=1&pd_rd_i=B079GR96PB
Pillow Pet	24.99	Prime Shipping	0	1.94	2	1	5.99	2.4	Diamond+	Other	Amazon	https://www.amazon.com/Pillow-Pets-Signature-Stuffed-Snuggly/dp/B002XB04XW
Pillow Pet 2	29.99	Prime Shipping	0	2.32	2	1	5.99	2.78	Diamond+	Other	Amazon	https://www.amazon.com/dp/B078S9G99T/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B078S9G99T&pd_rd_w=T57nL&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=pMFeI&pf_rd_r=W540VMN4S1H1XNNBEA8V&pd_rd_r=914574f9-fcd2-11e8-ae45-dfe31428ce6d
Darice 80 Piece Art Set	22.99	Prime Shipping	0	1.78	2	1	6.99	2.32	Diamond+	Other	Amazon	https://www.amazon.com/dp/B002NZJ4L6/ref=gbps_img_m15_3411_4b7191e9?smid=ATVPDKIKX0DER&pf_rd_p=8e6f8955-4088-43bc-b451-f0e499203411&pf_rd_s=merchandised-search-15&pf_rd_t=101&pf_rd_i=17911186011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=3YSMMTCRFDBRB79HWCPT
Harry Potter's Light Painting Wand	19.14	Prime Shipping	0		2	1	3.99	0	Diamond+	Toys	Amazon	https://www.amazon.com/dp/B07C5RYDJ6/ref=gbps_tit_m15_5213_5a3d4f62?smid=ATVPDKIKX0DER&pf_rd_p=121796c2-50b8-4766-be4e-942d22515213&pf_rd_s=merchandised-search-15&pf_rd_t=101&pf_rd_i=17911195011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=R6F0ZRMW04AZ9BS2832N
Harione's Light Painting Wand	22.94	Prime Shipping	0	1.78	2	1	5.99	2.24	Diamond+	Toys	Amazon	https://www.amazon.com/dp/B07C5RYDJ6/ref=gbps_tit_m15_5213_5a3d4f62?smid=ATVPDKIKX0DER&pf_rd_p=121796c2-50b8-4766-be4e-942d22515213&pf_rd_s=merchandised-search-15&pf_rd_t=101&pf_rd_i=17911195011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=R6F0ZRMW04AZ9BS2832N
Magic: The Gathering Core Set 2019 Bundle	30.46	Prime Shipping	0		2		0		Diamond+	Other	Amazon	https://www.amazon.com/Magic-Gathering-Bundle-Booster-Accessories/dp/B07D3RZRXH/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1544332161&sr=1-6&keywords=trading+card+box+set
Magic: The Gathering MTG-XLN-BU-EN Ixalan Bundle	34.77	Prime Shipping	0		2		0		Diamond+	Other	Amazon	https://www.amazon.com/Magic-Gathering-MTG-XLN-BU-EN-Ixalan-Bundle/dp/B073RZG1XZ
Pokemon Charizard GX Box Premium Collection	28.98	Prime Shipping	0	2.25	2	1	3.99	2.56	Diamond+	Other	Amazon	https://www.amazon.com/Charizard-GX-Box-Premium-Collection/dp/B07349NM1N
Yugioh TCG Legendary Collection Set #5 LC5 5D's Box Set	44.99	Prime Shipping	0		2	1	3.99	0	Diamond+	Other	Amazon	https://www.amazon.com/Yugioh-Card-Game-Legendary-Collection/dp/B00O3B1E4I
Pokemon Shining Legends Elite Trainer Box	40.6	Prime Shipping	0		5	2	78.47	0	Diamond+	Other	Amazon	https://www.amazon.com/Pokemon-Shining-Legends-Trainer-Collectible/dp/B074H18DMF
Minecraft	26.95	Prime Shipping	0						Diamond+	Video Games	Amazon	www.minecraft.net
VAHDAM Chai Tea Set	29.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Other	Amazon	https://www.amazon.com/gp/product/B01LZZZVKD?ref=oft18_d_B01LZZZVKD_AL_16&th=1
Bindle Bottle 24oz Water Bottle W/ Storage Area	36.99	Prime Shipping	0		30	14	56.09	0	Diamond+	Accessories	Amazon	https://www.amazon.com/gp/product/B07D72PM5H?ref=oft18_d_B07D72PM5H_AL_76
Rocket League Steam Game	19.99	Prime Shipping	0						Diamond+	Video Games	Amazon	https://store.steampowered.com/app/252950/Rocket_League/
Bath Bombs 12 Set	26.8	Prime Shipping	0		2	1	5.99	0	Diamond+	Other	Amazon	https://www.amazon.com/dp/B01MFGN8S5/ref=gbph_tit_m12_f46b_7a1e16cb?pf_rd_p=08ff2e7b-d987-49cf-8639-7babf9f3f46b&pf_rd_s=merchandised-search-12&pf_rd_t=101&pf_rd_i=5550343011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=Y8Y5SSXTN76DBAXH3THV
3D Laser Etched Crystal Ball	22.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Electronics	Amazon	https://www.amazon.com/dp/B0743HZQTC/ref=gbps_tit_s-3_d337_de1267a6?pf_rd_p=378ac6ee-552b-4f4f-943a-e84d8730d337&pf_rd_s=slot-3&pf_rd_t=701&pf_rd_i=gb_all&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=3ABRJNFAESY2Q91YB8XT
Anker PowerCore 10000 Portable Charger	31.99	Prime Shipping	0		2	1	3.99	0	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B0194WDVHI
6-Port USB Charger	24.99	Prime Shipping	0	1.94	2	1	3.99	2.25	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B00OQ19QYA
Handheld Massager	40	Prime Shipping	0		2	1	5.99	0	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B06ZZXJQHR/ref=as_li_tl?imprToken=uViCTn6GLldPyJhbDkE9-Q&slotNum=1&ie=UTF8&tag=bustle6987-20&camp=1789&creative=9325&linkCode=w61&creativeASIN=B06ZZXJQHR&linkId=f06016e38b4bc669da33f007d5e5751a
Epica Personal Blender + Bottle	24.95	Prime Shipping	0	1.93	2	1	7.99	2.55	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B01FG0874O?imprToken=91v7BDg-TvCsa5pk3qMGBA&slotNum=1&ie=UTF8&tag=bustle6987-20&camp=1789&linkCode=xm2&creativeASIN=B01FG0874O
Coleman Sleeping Bag	24.12	Prime Shipping	0	1.87	2	1	7.99	2.49	Diamond+	Other	Amazon	https://www.amazon.com/Coleman-Sunridge-40-60-Degree-Sleeping/dp/B00363X1DQ/ref=pd_rhf_se_s_cp_1_28?_encoding=UTF8&pd_rd_i=B00363X1DQ&pd_rd_r=525f2bc6-9c73-4770-ace8-de0c39b609f9&pd_rd_w=HIOKJ&pd_rd_wg=ekBaJ&psc=1&refRID=C66VPS7S9EYC14H41JFX
Crock Pot 6-Quart Portable Slow Cooked, Stainless Steel	30.93	Prime Shipping	0	2.4	2		0	2.4	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B003HF6PUO
3-Speed Bluetooth Suitcase Turntable	44.99	Prime Shipping	0	3.49	2	1	11.99	4.42	Diamond+	Electronics	Amazon	https://www.amazon.com/Victrola-Bluetooth-Suitcase-Turntable-Turquoise/dp/B00UMVVUOC/ref=zg_mg_boost_47?_encoding=UTF8&psc=1&refRID=Y9BNVWZ7JWQ0BYQ8NT31
Overwatch 16 oz Pint Glass Set	22.4	Overwatch Shipping	6.33	1.73	3	2	10.47	1.73	Diamond+	Other	Amazon	https://gear.blizzard.com/us/game/overwatch/overwatch-pint-glasses-set-of-4
Hammock	25.97	Prime Shipping	0		2	1	5.99	0	Diamond+	Other	Amazon	https://www.amazon.com/dp/B06ZXXZWLH/ref=cm_gf_aTNN_d_p0_qd7_________________________szl7MaSqJCZg8gUB1OeF
Xbox One Wireless Controller	46.88	Prime Shipping	0	3.63	2		0	3.63	Diamond+	Electronics	Amazon	https://www.amazon.com/Xbox-Wireless-Controller-White-one/dp/B01GW3H3U8/ref=sr_1_3?s=videogames&ie=UTF8&qid=1548485579&sr=1-3&keywords=xbox%2Bwireless%2Bcontroller&th=1
PS4 Wireless Controller	46.96	Prime Shipping	0	3.64	2	1	3.99	3.94	Diamond+	Electronics	Amazon	https://www.amazon.com/DualShock-Wireless-Controller-PlayStation-Black-4/dp/B01LWVX2RG
Hot Wheels Corkscrew Track	47.49	Prime Shipping	0	3.79	2	1	9.99	4.56	Diamond+	Toys	Amazon	https://www.amazon.com/Hot-Wheels-Corkscrew-Crash-Track/dp/B079KHS5S9/ref=zg_mw_toys-and-games_44?_encoding=UTF8&psc=1&refRID=N20R759NS1FVZ2GDX6HW
6ft x 9ft Green Screen + Stand	47.99	Prime Shipping	0	3.48	2		0	3.48	Diamond+	Other	Amazon	https://www.amazon.com/Background-Chromakey-Fancierstudio-9115-6x9G/dp/B004K4YSXC/ref=sr_1_2_sspa?ie=UTF8&qid=1544110917&sr=8-2-spons&keywords=green+screen+setup&psc=1
3 Piece Canvas Wall Art	49.99	Prime Shipping	0	4.75	2		0	4.75	Diamond+	Other	Amazon	https://www.amazon.com/wall26-Canvas-Nebula-Modern-Stretched/dp/B074MTLXSM/ref=sr_1_25_sspa?s=home-garden&ie=UTF8&qid=1544035691&sr=1-25-spons&keywords=3%2Bpiece%2Bcanvas%2Bwall%2Bart&refinements=p_36%3A4000-5000&th=1
$50 Gift Card	50	Digital Item	0						Diamond+	Digital	Digital Item
Corsair Keyboard + Wrist Rest	46.99	Prime Shipping	0	3.64	2	1	7.99	4.26	Diamond+	Electronics	Amazon	https://www.amazon.com/CORSAIR-K55-RGB-Gaming-Keyboard/dp/B01M4LIKLI/ref=sr_1_6?s=videogames&ie=UTF8&qid=1544033964&sr=1-6&keywords=gaming&refinements=p_36%3A4000-5000
1TB External Hard Drive	44	Prime Shipping	0	4.12	2	1	5.99	4.12	Diamond+	Other	Amazon	https://www.amazon.com/dp/B079HF8BKY/ref=sr_1_11_twi_col_3?s=pc&ie=UTF8&qid=1544084947&sr=1-11&keywords=external%2Bhard%2Bdrive&th=1
Blue Snowball Microphone	49	Prime Shipping	0	3.8	2	1	6.99	4.34	Diamond+	Electronics	Amazon	https://www.amazon.com/dp/B006DIA77E/ref=sxbs_sxwds-stppvp_1?pf_rd_m=ATVPDKIKX0DER&pf_rd_p=d45777d6-4c64-4117-8332-1659db52e64f&pd_rd_wg=ABjzW&pf_rd_r=H9VMEWP72YCZHW9G7648&pf_rd_s=desktop-sx-bottom-slot&pf_rd_t=301&pd_rd_i=B014PYGTUQ&pd_rd_w=3ZnZH&pf_rd_i
Vintage Backpack 15.6 Slim School Laptop Backpack	25.99	Prime Shipping	0		2		0		Diamond+	Fashion	Amazon	https://www.amazon.com/Kemladio-Vintage-Backpack-College-Daypack/dp/B074TDRD5V
Furesion USB Charging Laptop Backpack	50.86	Prime Shipping	0		2	1	6.99	0	Diamond+	Fashion	Amazon	https://www.amazon.com/Backpack-Waterproof-Business-Anti-Theft-Capacity/dp/B07FQGZPLQ
Travel Laptop Backpack	36.99	Prime Shipping	0		2	1	6.99	0	Diamond+	Fashion	Amazon	https://www.amazon.com/Backpack%EF%BC%8C17-Inch-Computer-Waterproof-Anti-Theft-Backpack/dp/B01BXZUYSI/ref=sr_1_16_sspa?s=electronics&ie=UTF8&qid=1544333666&sr=1-16-spons&keywords=outdoors+backpacks&psc=1
Nevenka Women Bags Backpack Purse	20.99	Prime Shipping	0		2	1	5.99	0	Diamond+	Fashion	Amazon	https://www.amazon.com/Nevenka-Backpack-Leather-Backpacks-Shoulder/dp/B07DRHL3BS
SwissGear Travel Gear Backpack 1	59.99	Prime Shipping	0	4.65	2	1	7.99	4.65	Diamond+	Fashion	Amazon	https://www.amazon.com/SwissGear-1900-Scansmart-Laptop-Backpack/dp/B00ESKY9FU/ref=sr_1_1_sspa?s=sporting-goods&ie=UTF8&qid=1544333236&sr=1-1-spons&keywords=backpacks&refinements=p_36%3A1253556011&th=1
SwissGear Travel Gear Backpack 2	69.99	Prime Shipping	0	5.42	2	1	7.99	5.42	Diamond+	Fashion	Amazon	https://www.amazon.com/SwissGear-1900-Scansmart-Laptop-Backpack/dp/B007R6JPC4
Backpacks	29.99	Prime Shipping	0		2		0		Diamond+	Fashion	Amazon	https://www.amazon.com/hotstyle-TRENDYMAX-Backpack-Bundles-Matching/dp/B07336GGXC
HyperX Gaming Headset	39.99	Prime Shipping	0	3.1	2	1	5.99	3.56	Diamond+	Electronics	Amazon	https://www.amazon.com/HyperX-Cloud-Stinger-Gaming-Headset/dp/B01L2ZRYVE/ref=sr_1_5?s=videogames&ie=UTF8&qid=1544033964&sr=1-5&keywords=gaming&refinements=p_36%3A4000-5000
NBA Game On Hoop Set	38.9	Standard Shipping	0	2.73	2		0		Diamond+	Toys	Amazon	https://www.amazon.com/dp/B07DKQZZ2S/ref=gbps_img_m15_3411_7a5ad126?smid=A1A5NX4ACCQDY4&pf_rd_p=8e6f8955-4088-43bc-b451-f0e499203411&pf_rd_s=merchandised-search-15&pf_rd_t=101&pf_rd_i=17911186011&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=3YSMMTCRFDBRB79HWCPT
Dog Spa Day Kit	62	Prime Shipping	0	4.81	2	1	7.99	5.43	Diamond+	Other	Amazon	https://www.amazon.com/gp/product/B07HKS6QXX?ref=oft18_d_B07HKWPX5W_AL_72&th=1
2nd Generation Flat Iron	49.99	Prime Shipping	0	3.87	2	5.99		4.33	Diamond+	Electronics	Amazon	https://www.amazon.com/gp/product/B00N30SE3E?imprToken=aA7jl1TkWIDXyBXrRYdnnw&slotNum=1&ie=UTF8&tag=bustle7440-20&camp=1789&linkCode=xm2&creativeASIN=B001MA0QY2&th=1
